iterations,threads,time_in_ns,matrix_size,gmacs
0,1,58000,24,0.2383448275862069
0,8,1000,24,5.0
1,1,8000,24,1.728
1,8,1000,24,5.0
2,1,6000,24,2.304
2,8,0,24,5.0
3,1,8000,24,1.728
3,8,1000,24,5.0
4,1,6000,24,2.304
4,8,0,24,5.0
5,1,6000,24,2.304
5,8,0,24,5.0
6,1,9000,24,1.536
6,8,1000,24,5.0
7,1,6000,24,2.304
7,8,1000,24,5.0
8,1,4000,24,3.456
8,8,1000,24,5.0
9,1,5000,24,2.7648
9,8,0,24,5.0
0,1,15000,48,7.3728
0,8,0,48,5.0
1,1,18000,48,6.144
1,8,1000,48,5.0
2,1,22000,48,5.026909090909091
2,8,0,48,5.0
3,1,23000,48,4.8083478260869565
3,8,1000,48,5.0
4,1,21000,48,5.266285714285714
4,8,1000,48,5.0
5,1,18000,48,6.144
5,8,0,48,5.0
6,1,25000,48,4.42368
6,8,1000,48,5.0
7,1,14000,48,7.8994285714285715
7,8,1000,48,5.0
8,1,34000,48,3.252705882352941
8,8,1000,48,5.0
9,1,28000,48,3.9497142857142857
9,8,0,48,5.0
0,1,40000,72,9.3312
0,8,0,72,5.0
1,1,39000,72,9.570461538461538
1,8,0,72,5.0
2,1,28000,72,13.330285714285715
2,8,1000,72,5.0
3,1,63000,72,5.924571428571428
3,8,0,72,5.0
4,1,28000,72,13.330285714285715
4,8,1000,72,5.0
5,1,61000,72,6.118819672131147
5,8,0,72,5.0
6,1,43000,72,8.680186046511627
6,8,1000,72,5.0
7,1,44000,72,8.482909090909091
7,8,1000,72,5.0
8,1,49000,72,7.61730612244898
8,8,1000,72,5.0
9,1,29000,72,12.870620689655173
9,8,1000,72,5.0
0,1,139000,96,6.365007194244605
0,8,1000,96,5.0
1,1,169000,96,5.23512426035503
1,8,0,96,5.0
2,1,51000,96,17.34776470588235
2,8,0,96,5.0
3,1,51000,96,17.34776470588235
3,8,0,96,5.0
4,1,78000,96,11.34276923076923
4,8,0,96,5.0
5,1,70000,96,12.639085714285715
5,8,1000,96,5.0
6,1,49000,96,18.055836734693877
6,8,0,96,5.0
7,1,80000,96,11.0592
7,8,0,96,5.0
8,1,53000,96,16.6931320754717
8,8,0,96,5.0
9,1,71000,96,12.461070422535212
9,8,1000,96,5.0
0,1,106000,120,16.30188679245283
0,8,1000,120,5.0
1,1,252000,120,6.857142857142857
1,8,1000,120,5.0
2,1,162000,120,10.666666666666666
2,8,0,120,5.0
3,1,156000,120,11.076923076923077
3,8,1000,120,5.0
4,1,141000,120,12.25531914893617
4,8,0,120,5.0
5,1,136000,120,12.705882352941176
5,8,1000,120,5.0
6,1,143000,120,12.083916083916083
6,8,0,120,5.0
7,1,138000,120,12.521739130434783
7,8,1000,120,5.0
8,1,150000,120,11.52
8,8,0,120,5.0
9,1,125000,120,13.824
9,8,0,120,5.0
0,1,216000,144,13.824
0,8,1000,144,5.0
1,1,240000,144,12.4416
1,8,0,144,5.0
2,1,199000,144,15.00494472361809
2,8,1000,144,5.0
3,1,204000,144,14.637176470588235
3,8,0,144,5.0
4,1,201000,144,14.855641791044777
4,8,1000,144,5.0
5,1,183000,144,16.316852459016392
5,8,1000,144,5.0
6,1,278000,144,10.74094964028777
6,8,0,144,5.0
7,1,204000,144,14.637176470588235
7,8,1000,144,5.0
8,1,258000,144,11.573581395348837
8,8,0,144,5.0
9,1,220000,144,13.572654545454546
9,8,0,144,5.0
0,1,450000,168,10.53696
0,8,1000,168,5.0
1,1,462000,168,10.263272727272728
1,8,1000,168,5.0
2,1,257000,168,18.449929961089495
2,8,0,168,5.0
3,1,325000,168,14.589636923076924
3,8,1000,168,5.0
4,1,450000,168,10.53696
4,8,1000,168,5.0
5,1,301000,168,15.752930232558139
5,8,1000,168,5.0
6,1,359000,168,13.207888579387186
6,8,1000,168,5.0
7,1,366000,168,12.95527868852459
7,8,1000,168,5.0
8,1,310000,168,15.295587096774193
8,8,1000,168,5.0
9,1,890000,168,5.327676404494382
9,8,1000,168,5.0
0,1,713000,192,9.926911640953717
0,8,1000,192,5.0
1,1,694000,192,10.198685878962536
1,8,1000,192,5.0
2,1,552000,192,12.822260869565218
2,8,0,192,5.0
3,1,605000,192,11.698988429752067
