iterations,threads,time_in_ns,matrix_size,gmacs
0,c3,57000,24,0.24252631578947367
1,c3,13000,24,1.0633846153846154
2,c3,4000,24,3.456
3,c3,2000,24,6.912
4,c3,4000,24,3.456
5,c3,4000,24,3.456
6,c3,3000,24,4.608
7,c3,2000,24,6.912
8,c3,5000,24,2.7648
9,c3,3000,24,4.608
10,c3,3000,24,4.608
11,c3,3000,24,4.608
12,c3,3000,24,4.608
13,c3,2000,24,6.912
14,c3,2000,24,6.912
15,c3,3000,24,4.608
16,c3,3000,24,4.608
17,c3,3000,24,4.608
18,c3,3000,24,4.608
19,c3,2000,24,6.912
20,c3,3000,24,4.608
21,c3,2000,24,6.912
22,c3,3000,24,4.608
23,c3,2000,24,6.912
24,c3,3000,24,4.608
0,c3,7000,48,15.798857142857143
1,c3,8000,48,13.824
2,c3,7000,48,15.798857142857143
3,c3,4000,48,27.648
4,c3,5000,48,22.1184
5,c3,5000,48,22.1184
6,c3,5000,48,22.1184
7,c3,7000,48,15.798857142857143
8,c3,4000,48,27.648
9,c3,4000,48,27.648
10,c3,5000,48,22.1184
11,c3,6000,48,18.432
12,c3,7000,48,15.798857142857143
13,c3,5000,48,22.1184
14,c3,4000,48,27.648
15,c3,5000,48,22.1184
16,c3,4000,48,27.648
17,c3,4000,48,27.648
18,c3,5000,48,22.1184
19,c3,11000,48,10.053818181818182
20,c3,6000,48,18.432
21,c3,6000,48,18.432
22,c3,5000,48,22.1184
23,c3,5000,48,22.1184
24,c3,5000,48,22.1184
0,c3,14000,72,26.66057142857143
1,c3,14000,72,26.66057142857143
2,c3,10000,72,37.3248
3,c3,11000,72,33.931636363636365
4,c3,10000,72,37.3248
5,c3,10000,72,37.3248
6,c3,10000,72,37.3248
7,c3,10000,72,37.3248
8,c3,10000,72,37.3248
9,c3,11000,72,33.931636363636365
10,c3,11000,72,33.931636363636365
11,c3,11000,72,33.931636363636365
12,c3,22000,72,16.965818181818182
13,c3,13000,72,28.711384615384617
14,c3,13000,72,28.711384615384617
15,c3,12000,72,31.104
16,c3,14000,72,26.66057142857143
17,c3,14000,72,26.66057142857143
18,c3,11000,72,33.931636363636365
19,c3,11000,72,33.931636363636365
20,c3,10000,72,37.3248
21,c3,10000,72,37.3248
22,c3,11000,72,33.931636363636365
23,c3,10000,72,37.3248
24,c3,11000,72,33.931636363636365
0,c3,30000,96,29.4912
1,c3,30000,96,29.4912
2,c3,22000,96,40.215272727272726
3,c3,22000,96,40.215272727272726
4,c3,21000,96,42.13028571428571
