iterations,threads,time_in_ns,matrix_size,gmacs
0,c0,267000,24,0.051775280898876404
1,c0,3000,24,4.608
2,c0,2000,24,6.912
3,c0,2000,24,6.912
4,c0,2000,24,6.912
5,c0,2000,24,6.912
6,c0,2000,24,6.912
7,c0,1000,24,13.824
8,c0,1000,24,13.824
9,c0,2000,24,6.912
10,c0,2000,24,6.912
11,c0,2000,24,6.912
12,c0,1000,24,13.824
13,c0,1000,24,13.824
14,c0,1000,24,13.824
15,c0,2000,24,6.912
16,c0,1000,24,13.824
17,c0,2000,24,6.912
18,c0,2000,24,6.912
19,c0,2000,24,6.912
20,c0,2000,24,6.912
21,c0,2000,24,6.912
22,c0,2000,24,6.912
23,c0,1000,24,13.824
24,c0,1000,24,13.824
0,c0,46000,48,2.4041739130434783
1,c0,8000,48,13.824
2,c0,6000,48,18.432
3,c0,6000,48,18.432
4,c0,6000,48,18.432
5,c0,6000,48,18.432
6,c0,6000,48,18.432
7,c0,6000,48,18.432
8,c0,7000,48,15.798857142857143
9,c0,7000,48,15.798857142857143
10,c0,7000,48,15.798857142857143
11,c0,6000,48,18.432
12,c0,7000,48,15.798857142857143
13,c0,7000,48,15.798857142857143
14,c0,6000,48,18.432
15,c0,6000,48,18.432
16,c0,7000,48,15.798857142857143
17,c0,6000,48,18.432
18,c0,6000,48,18.432
19,c0,6000,48,18.432
20,c0,7000,48,15.798857142857143
21,c0,7000,48,15.798857142857143
22,c0,6000,48,18.432
23,c0,6000,48,18.432
24,c0,6000,48,18.432
0,c0,5826000,72,0.0640659114315139
1,c0,206000,72,1.811883495145631
2,c0,3902000,72,0.0956555612506407
3,c0,101000,72,3.6955247524752477
4,c0,89000,72,4.1937977528089885
5,c0,69000,72,5.409391304347826
6,c0,66000,72,5.6552727272727275
7,c0,1859000,72,0.20077891339429801
8,c0,2102000,72,0.17756803044719316
9,c0,137000,72,2.7244379562043797
10,c0,66000,72,5.6552727272727275
11,c0,78000,72,4.785230769230769
12,c0,44000,72,8.482909090909091
13,c0,25000,72,14.92992
14,c0,73000,72,5.112986301369863
15,c0,70000,72,5.332114285714286
16,c0,73000,72,5.112986301369863
17,c0,75000,72,4.97664
18,c0,85000,72,4.391152941176471
19,c0,2466000,72,0.15135766423357663
20,c0,127000,72,2.93896062992126
21,c0,82000,72,4.55180487804878
22,c0,110000,72,3.3931636363636364
23,c0,51000,72,7.318588235294118
24,c0,40000,72,9.3312
0,c0,425000,96,2.081731764705882
1,c0,964000,96,0.9177759336099585
2,c0,109000,96,8.116844036697248
3,c0,213000,96,4.153690140845071
4,c0,72000,96,12.288
5,c0,71000,96,12.461070422535212
6,c0,73000,96,12.119671232876712
7,c0,73000,96,12.119671232876712
8,c0,73000,96,12.119671232876712
9,c0,142000,96,6.230535211267606
10,c0,71000,96,12.461070422535212
11,c0,73000,96,12.119671232876712
12,c0,73000,96,12.119671232876712
13,c0,73000,96,12.119671232876712
14,c0,63000,96,14.04342857142857
15,c0,73000,96,12.119671232876712
16,c0,73000,96,12.119671232876712
17,c0,73000,96,12.119671232876712
18,c0,69000,96,12.822260869565218
19,c0,74000,96,11.955891891891891
20,c0,74000,96,11.955891891891891
21,c0,74000,96,11.955891891891891
22,c0,73000,96,12.119671232876712
23,c0,85000,96,10.408658823529413
24,c0,106000,96,8.34656603773585
0,c0,116000,120,14.89655172413793
1,c0,107000,120,16.149532710280372
2,c0,98000,120,17.632653061224488
3,c0,88000,120,19.636363636363637
4,c0,103000,120,16.776699029126213
5,c0,139000,120,12.431654676258994
6,c0,122000,120,14.163934426229508
7,c0,107000,120,16.149532710280372
8,c0,109000,120,15.853211009174313
9,c0,104000,120,16.615384615384617
10,c0,105000,120,16.457142857142856
11,c0,118000,120,14.64406779661017
12,c0,108000,120,16.0
13,c0,107000,120,16.149532710280372
14,c0,139000,120,12.431654676258994
15,c0,110000,120,15.709090909090909
16,c0,110000,120,15.709090909090909
17,c0,2115000,120,0.8170212765957446
18,c0,116000,120,14.89655172413793
19,c0,212000,120,8.150943396226415
20,c0,119000,120,14.521008403361344
21,c0,4192000,120,0.4122137404580153
22,c0,210000,120,8.228571428571428
23,c0,2235000,120,0.7731543624161074
